ID,Cluster,MT Score,YAP,PI3KAKT,TGFB,WNT,MAPK,FOXO,TNF,NOTCH,HIF1,CD8
TCGA.FR.A44A.06,Cluster II,3774.992151,2618.167906,2765.840965,2801.858823,2156.068724,2804.503932,3977.675214,4113.580366,4632.329897,4783.218667,5174.19024
TCGA.FR.A69P.06,Cluster II,4372.578537,2593.883945,2928.263454,3117.668775,2566.657793,2693.28532,4144.996516,3312.484657,5440.439959,4531.278003,-2802.292599
TCGA.FR.A726.01,Cluster II,4431.910954,3052.694153,2900.213072,2960.535148,2645.215308,2802.660365,3997.094282,3346.339553,5032.708774,4692.179703,-5284.283983
TCGA.FR.A728.01,Cluster II,3914.227646,2619.071086,2780.225707,2598.587683,2139.545305,2824.715129,4063.845628,4179.993485,4623.164737,4335.740896,2320.88508
TCGA.FR.A729.06,Cluster II,3584.79249,2363.815594,2903.898327,2516.134514,2117.573747,2594.280266,3800.22665,3818.768653,4834.479265,4593.144901,3461.600544
TCGA.FR.A7U8.06,Cluster II,2780.228896,2623.276684,2465.53083,2806.693934,2068.774983,2555.150499,3767.985105,2644.368893,4668.954338,4445.408871,-3896.014786
TCGA.FR.A7UA.06,Cluster II,3149.210287,2327.66205,2838.187552,2663.011671,1783.768513,2948.962721,4051.613902,4651.510976,4394.18483,4932.407077,7433.761775
TCGA.FR.A8YC.06,Cluster II,3359.67102,2388.363466,2727.728439,2447.251529,2071.063617,2627.074236,4102.608662,3127.281852,4681.875581,4542.434794,15.96045241
TCGA.FR.A8YD.06,Cluster II,3358.844022,2726.197312,2486.550924,2334.277437,2082.707848,2556.97353,3388.360226,2638.041643,4878.150181,4176.041512,-2769.765982
TCGA.FS.A1YW.06,Cluster II,3375.04917,2663.71223,2618.729714,2705.386676,2582.589734,2746.495437,4241.462295,3149.489844,4543.800808,4252.981183,-2772.266515
TCGA.FS.A1YY.06,Cluster II,3799.722777,2549.768703,2646.063931,2797.784818,2108.963539,2583.836206,3980.712287,2943.26829,4484.034904,4618.312454,-3534.694086
TCGA.FS.A1Z0.06,Cluster II,3632.282174,2667.207708,2983.444597,2766.409203,2430.467885,2791.756394,4045.984806,3309.983895,4876.720553,4496.53173,1785.331998
TCGA.FS.A1Z3.06,Cluster II,3650.085573,2780.598284,2806.405184,2898.279815,2514.463485,2742.983734,3940.983799,2982.314779,5472.75102,4256.556808,-3665.073512
TCGA.FS.A1ZA.06,Cluster II,3342.794844,2408.492167,3067.059028,2538.899427,2155.144275,2816.198313,3912.777278,3583.019403,5216.591414,4870.34129,-1341.315358
TCGA.FS.A1ZC.06,Cluster II,4214.929309,2855.855782,2915.313442,3032.92454,2385.120321,2699.882251,3633.115023,2824.129256,4574.899413,4574.368196,-4644.373574
TCGA.FS.A1ZE.06,Cluster II,3815.410177,2973.580892,2785.311769,3072.058569,2550.356215,2744.084163,4276.889676,2920.255652,5037.354689,4324.35817,-3787.793733
TCGA.FS.A1ZF.06,Cluster II,3625.877676,2378.630792,2578.028707,2392.171034,1989.21425,2296.142998,3423.080779,2707.136496,4985.994366,4563.92442,-2397.594089
TCGA.FS.A1ZJ.06,Cluster II,3133.245544,2925.977902,2672.30346,2912.975147,2383.439222,2820.154768,4020.239629,2630.997276,5117.020489,4427.89304,-892.2692729
TCGA.FS.A1ZK.06,Cluster II,2861.979914,2757.914766,2640.108392,2627.084767,2355.564483,2487.901364,3965.567078,2617.068501,5178.822572,4729.769187,-5456.469495
TCGA.FS.A1ZN.01,Cluster II,3889.540202,2966.24586,2683.804712,2759.006728,2074.862921,2547.160381,3942.543506,3254.392333,4952.918429,4571.166087,-4352.082664
TCGA.FS.A1ZQ.06,Cluster II,3699.260857,2726.210391,2738.638932,2663.480562,2361.929549,2688.725959,3851.203741,3137.165393,5208.457426,4601.099676,-2984.59874
TCGA.FS.A1ZR.06,Cluster II,3670.82093,3022.908785,3012.700482,3001.183491,2476.434534,2521.337204,3881.351189,2962.990456,4617.324451,4572.86141,-2057.015732
TCGA.FS.A1ZT.06,Cluster II,3947.488651,2763.951929,2850.422716,2885.162088,2655.746241,2677.593221,3936.439308,3653.058478,5286.281961,4689.445642,1624.926223
TCGA.FS.A1ZU.06,Cluster II,3754.23793,2562.222424,2616.250569,2964.721396,2032.217302,2921.468872,3886.273699,2684.169135,5515.616552,4469.94014,-4153.81055
TCGA.FS.A1ZW.06,Cluster II,4067.53078,2560.500586,2854.198015,2942.495379,2175.126355,2591.0751,4214.507936,3800.392734,4098.492497,4925.205378,2129.720698
TCGA.FS.A1ZY.06,Cluster II,3731.078045,2625.210212,2769.72804,2567.560729,2316.798877,2700.689098,3772.934655,2589.992344,5772.361352,4327.460765,-3946.267614
TCGA.FS.A1ZZ.06,Cluster II,3521.418552,2717.141693,2458.281567,2356.584887,2273.559342,2436.932651,3869.360428,2703.430454,4646.764217,4310.233472,-3142.603689
TCGA.FS.A4F2.06,Cluster II,3346.249928,2599.522079,2696.297471,2579.92995,1828.62481,2726.917326,4039.970656,3304.526705,4544.066819,4522.582856,-4771.256842
TCGA.FS.A4F4.06,Cluster II,3978.337869,2906.289093,2794.95964,2897.773173,2362.066714,2914.759712,3936.68101,3343.418024,5425.77295,4403.591929,800.3931659
TCGA.FS.A4F5.06,Cluster II,4233.57825,2626.866244,2692.28017,2783.353094,2149.283885,2751.789753,3783.551124,3319.550792,5325.869609,4550.476095,-4074.379382
TCGA.FS.A4F9.06,Cluster II,4417.316437,2761.816076,2463.88989,2995.48219,2545.479764,2612.877855,4207.298509,2868.727899,5143.366531,4122.222991,-2999.926308
TCGA.FS.A4FB.06,Cluster II,3820.807733,2645.610968,2619.944799,2701.453627,2054.882805,2359.126752,3681.231394,2558.35172,4648.166957,4773.741878,-4363.693119
TCGA.FS.A4FD.06,Cluster II,3594.723608,2863.236745,2816.689073,3354.504943,2790.778255,2719.913079,3982.364821,3067.851273,5145.788822,4455.933311,-1244.81363
TCGA.FW.A3I3.06,Cluster II,3325.972808,2890.153618,2551.902504,2896.777072,2533.111213,2726.36298,3730.672879,2949.822946,4936.996607,4341.672513,-2647.183921
TCGA.FW.A3R5.06,Cluster II,3779.28677,2726.816155,2619.048541,3062.067643,2013.184176,2746.349666,4079.528334,3605.211914,4793.839122,4621.52279,-1610.903601
TCGA.FW.A3TU.06,Cluster II,2492.108655,2238.156489,2149.621462,1734.611736,1640.794677,2514.823023,3220.649016,3005.256604,4617.303063,4096.228514,-1352.636628
TCGA.FW.A3TV.06,Cluster II,2643.813111,2574.171744,2773.996054,2626.687975,2060.813181,2530.45275,3865.300446,3160.409506,4712.320953,4632.917957,-750.6587708
TCGA.FW.A5DX.01,Cluster II,3968.58361,2843.707422,2611.939156,3078.455352,2209.772217,2398.630932,3695.035601,2520.933207,4515.384039,4107.855295,-3514.411457
TCGA.FW.A5DY.06,Cluster II,3314.7237,2616.747628,3096.326319,2824.016696,2355.017157,2857.164232,4314.895365,3980.114005,4920.353164,4819.612758,1032.362004
TCGA.GF.A2C7.01,Cluster II,3520.891446,2815.664448,2797.47713,2816.324935,2200.808269,2673.99586,3872.642228,2688.146963,4805.984939,4352.696881,-5792.607236
TCGA.GF.A4EO.06,Cluster II,3998.01453,2482.099155,3112.691222,2802.570509,2010.807748,3056.053978,4206.634341,4452.713198,4624.731046,5131.478797,5529.203782
TCGA.GF.A6C8.06,Cluster II,3225.789761,2636.524759,2755.559607,2500.047956,1939.682302,2554.379766,3792.775626,3351.12314,4875.05513,4590.077797,13.40628414
TCGA.GN.A263.01,Cluster II,4101.769228,2247.627882,2420.509478,2635.133812,1888.301985,2250.33486,3917.423479,3463.70374,4136.717505,4254.758984,-1175.079667
